辆格内靛,辆格疙,朝楼,SMA5,SMA20,UPPER,MAVG,LOWER,RSI,MACD,AROONUP,AROONDN
A263800,单捞鸥贾风记,20170920,4680.0,4672.0,5567.237847803408,4947.5,4327.762152196592,41.045372988124576,-353.9194431189171,50.0,7.142857142857143
A263800,单捞鸥贾风记,20170921,4643.0,4626.0,5517.977491554156,4896.0,4274.022508445844,36.071844187573156,-359.42673088832,100.0,0.0
A263800,单捞鸥贾风记,20170922,4564.0,4579.0,5501.433798052998,4838.25,4175.066201947002,32.59210025787224,-377.5942443157628,100.0,78.57142857142857
A263800,单捞鸥贾风记,20170925,4404.0,4522.0,5514.485276600217,4773.75,4033.014723399783,29.524836493088046,-405.47370076956304,100.0,71.42857142857143
A263800,单捞鸥贾风记,20170926,4234.0,4452.5,5486.9577707518065,4707.75,3928.5422292481935,30.154070288436518,-421.1003552473885,100.0,64.28571428571429
A263800,单捞鸥贾风记,20170927,4135.0,4407.5,5415.627200340697,4652.25,3888.8727996593034,36.559074776579024,-411.7924594081078,92.85714285714286,57.142857142857146
A263800,单捞鸥贾风记,20170928,4099.0,4371.0,5317.5518464505,4597.25,3876.9481535494997,37.73040607878899,-396.616273671827,85.71428571428572,50.0
A263800,单捞鸥贾风记,20170929,4129.0,4346.5,5180.066925607058,4545.0,3909.933074392942,40.81930903163295,-371.83018771124443,78.57142857142857,42.85714285714286
A263800,单捞鸥贾风记,20171010,4184.0,4294.0,5088.948396128163,4499.75,3910.551603871837,38.8430800047516,-356.1507165146477,71.42857142857143,35.714285714285715
A263800,单捞鸥贾风记,20171011,4264.0,4249.0,5024.476241025292,4470.75,3917.0237589747076,43.141599942796674,-328.2405813433588,64.28571428571429,28.571428571428573
A263800,单捞鸥贾风记,20171012,4320.0,4227.5,4970.68641646558,4449.75,3928.81358353442,45.69305489098676,-295.45354573800887,57.142857142857146,21.42857142857143
A263800,单捞鸥贾风记,20171013,4334.0,4216.5,4910.707607970292,4421.25,3931.792392029708,41.870993726099,-279.9599589162899,50.0,14.285714285714286
A263800,单捞鸥贾风记,20171016,4336.0,4232.5,4885.419417411617,4405.75,3926.080582588383,43.22479349788818,-261.0409383703127,42.85714285714286,7.142857142857143
A263800,单捞鸥贾风记,20171017,4341.0,4262.5,4873.492922025873,4392.25,3911.0070779741277,41.26962945020938,-250.02414519759168,35.714285714285715,0.0
A263800,单捞鸥贾风记,20171018,4295.0,4279.5,4842.115532197806,4366.0,3889.884467802194,38.822313023252306,-247.31840530218233,28.571428571428573,0.0
A263800,单捞鸥贾风记,20171019,4238.0,4279.0,4810.125518741345,4343.25,3876.374481258655,40.04067499066542,-239.58805746045527,21.42857142857143,0.0
A263800,单捞鸥贾风记,20171020,4257.0,4295.5,4787.378561092561,4333.25,3879.121438907439,46.87670860140391,-214.04903214331353,14.285714285714286,71.42857142857143
A263800,单捞鸥贾风记,20171023,4257.0,4296.5,4762.488661985771,4321.5,3880.5113380142298,45.54525515362434,-195.58912305275135,7.142857142857143,64.28571428571429
A263800,单捞鸥贾风记,20171024,4284.0,4312.5,4699.7632406364255,4303.25,3906.7367593635745,47.16148875705788,-174.90869145128272,0.0,57.142857142857146
A263800,单捞鸥贾风记,20171025,4326.0,4310.5,4599.194439613527,4279.75,3960.3055603864736,46.12937236953853,-159.5048354506871,0.0,50.0
A263800,单捞鸥贾风记,20171026,4358.0,4298.0,4527.806126131806,4262.75,3997.693873868194,45.66809519665706,-146.81514957613854,64.28571428571429,42.85714285714286
A263800,单捞鸥贾风记,20171027,4392.0,4324.5,4559.167628943738,4270.5,3981.8323710562613,53.078949123009735,-117.65012332598053,57.142857142857146,100.0
A263800,单捞鸥贾风记,20171030,4477.0,4367.0,4654.721477727437,4299.75,3944.7785222725634,58.72810542559209,-77.1060130351052,50.0,92.85714285714286
A263800,单捞鸥贾风记,20171031,4525.0,4404.5,4677.2164529084985,4333.5,3989.7835470915015,54.10809754966751,-55.23121422561417,42.85714285714286,85.71428571428572
A263800,单捞鸥贾风记,20171101,4657.0,4491.5,4800.745710393257,4385.5,3970.254289606744,63.03828348490372,-6.751172830991891,35.714285714285715,100.0
A263800,单捞鸥贾风记,20171102,4785.0,4571.5,4901.868033649588,4425.25,3948.631966350412,61.85979614247442,28.516679234093317,28.571428571428573,100.0
A263800,单捞鸥贾风记,20171103,4830.0,4611.0,4943.935999392687,4453.25,3962.564000607313,55.620873525802935,40.26765530521061,21.42857142857143,92.85714285714286
A263800,单捞鸥贾风记,20171106,4860.0,4668.5,5007.652358844554,4482.5,3957.347641155445,58.61736263861294,59.38574020075612,14.285714285714286,85.71428571428572
A263800,单捞鸥贾风记,20171107,4926.0,4725.5,5068.405132848247,4519.0,3969.594867151753,59.63340066749897,77.27727976050573,7.142857142857143,78.57142857142857
A263800,单捞鸥贾风记,20171108,4895.0,4776.0,5106.839167745442,4543.25,3979.660832254558,56.32394164921754,82.43700699665715,0.0,71.42857142857143
A263800,单捞鸥贾风记,20171109,4872.0,4828.5,5141.793645717416,4563.25,3984.706354282583,56.45406933184848,85.93893566319457,0.0,64.28571428571429
A263800,单捞鸥贾风记,20171110,4872.0,4851.0,5159.39215204969,4587.75,4016.1078479503108,53.69740297388429,81.3214844969416,28.571428571428573,57.142857142857146
A263800,单捞鸥贾风记,20171113,4845.0,4852.5,5174.617019748896,4609.75,4044.8829802511036,53.521496467836904,76.37822236387183,21.42857142857143,50.0
A263800,单捞鸥贾风记,20171114,4838.0,4882.0,5198.184906092598,4643.25,4088.3150939074026,57.83529959262347,83.20184066572529,14.285714285714286,42.85714285714286
A263800,单捞鸥贾风记,20171115,4752.0,4823.5,5173.266420000372,4657.5,4141.733579999628,43.12152305766473,48.11263174933356,7.142857142857143,35.714285714285715
A263800,单捞鸥贾风记,20171116,4652.0,4762.0,5153.384102791821,4666.75,4180.115897208179,41.6240189644392,14.887609017126124,0.0,28.571428571428573
A263800,单捞鸥贾风记,20171117,4585.0,4728.5,5150.098571352097,4669.75,4189.401428647903,44.34585341303753,-4.532424280382656,92.85714285714286,21.42857142857143
A263800,单捞鸥贾风记,20171120,4485.0,4665.0,5156.0890951068595,4666.75,4177.4109048931405,40.29883919846202,-33.25715208577731,100.0,14.285714285714286
A263800,单捞鸥贾风记,20171121,4332.0,4585.0,5180.059251061755,4655.25,4130.440748938245,37.68450256949648,-64.95593139671837,100.0,7.142857142857143
A263800,单捞鸥贾风记,20171122,4285.0,4518.5,5194.812553504164,4647.25,4099.687446495836,38.928947990709005,-86.25889602612551,92.85714285714286,0.0
A263800,单捞鸥贾风记,20171123,4287.0,4469.5,5192.770172039622,4649.0,4105.229827960378,45.010932215948706,-87.60727120841148,85.71428571428572,14.285714285714286
A263800,单捞鸥贾风记,20171124,4283.0,4434.0,5193.666943856397,4642.5,4091.3330561436037,46.75577875098787,-83.27785266224328,78.57142857142857,7.142857142857143
A263800,单捞鸥贾风记,20171127,4308.0,4396.5,5182.611995929133,4624.5,4066.3880040708673,46.0406498568896,-80.93112471111726,71.42857142857143,0.0
A263800,单捞鸥贾风记,20171128,4327.0,4329.5,5187.241831412962,4605.75,4024.2581685870387,41.89973552175979,-90.13604013731674,64.28571428571429,0.0
A263800,单捞鸥贾风记,20171129,4362.0,4323.5,5132.857667329232,4573.5,4014.1423326707677,45.91593600292297,-87.1468879483009,57.142857142857146,21.42857142857143
A263800,单捞鸥贾风记,20171130,4340.0,4313.5,5081.059074100553,4537.75,3994.4409258994474,42.99368140600063,-92.18790104296659,50.0,14.285714285714286
A263800,单捞鸥贾风记,20171201,4346.0,4314.5,5054.192218828096,4521.5,3988.807781171904,49.430526217966694,-79.53128280040528,42.85714285714286,7.142857142857143
A263800,单捞鸥贾风记,20171204,4404.0,4356.0,5019.193424372676,4510.5,4001.8065756273236,55.89399557322867,-49.962350755088664,35.714285714285715,0.0
A263800,单捞鸥贾风记,20171205,4486.0,4406.5,4967.82282277208,4495.75,4023.67717722792,54.92879972620827,-28.619599428929178,28.571428571428573,0.0
A263800,单捞鸥贾风记,20171206,4537.0,4449.5,4930.739297577457,4484.0,4037.2607024225426,53.599764207934506,-14.76280452177889,21.42857142857143,100.0
A263800,单捞鸥贾风记,20171207,4567.0,4453.5,4874.2602209515835,4461.5,4048.7397790484165,47.14976060552711,-20.49024093900607,14.285714285714286,92.85714285714286
A263800,单捞鸥贾风记,20171208,4574.0,4460.0,4833.528136103958,4447.0,4060.4718638960417,49.63616217057236,-18.362275272285842,7.142857142857143,85.71428571428572
A263800,单捞鸥贾风记,20171211,4528.0,4466.0,4787.520613438717,4431.25,4074.979386561283,48.71068753146914,-18.87897139924553,0.0,78.57142857142857
A263800,单捞鸥贾风记,20171212,4444.0,4465.0,4683.335214577754,4397.25,4111.164785422246,42.458687119723294,-36.61850287878133,0.0,71.42857142857143
A263800,单捞鸥贾风记,20171213,4372.0,4454.5,4680.866407796444,4389.0,4097.133592203556,43.1727612356227,-48.504249731650816,92.85714285714286,64.28571428571429
A263800,单捞鸥贾风记,20171214,4343.0,4455.0,4680.90257457167,4384.25,4087.5974254283306,43.36199392949523,-56.864829177839965,100.0,57.142857142857146
A263800,单捞鸥贾风记,20171215,4288.0,4431.0,4676.83017034986,4372.75,4068.66982965014,41.860816599859675,-66.75571245701576,92.85714285714286,50.0
A263800,单捞鸥贾风记,20171218,4267.0,4397.5,4677.669839824495,4376.75,4075.8301601755047,47.35636843517504,-62.57613995543579,85.71428571428572,42.85714285714286
