,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
0,005930,KR7005930003,삼성전자,KOSPI,,71800,1,300,0.42,71800,71900,70900,15373696,1098192684298,428630387090000,5969782550,STK
1,373220,KR7373220003,LG에너지솔루션,KOSPI,,588000,1,3000,0.51,591000,592000,582000,271773,159432971000,137592000000000,234000000,STK
2,000660,KR7000660001,SK하이닉스,KOSPI,,118900,2,-100,-0.08,117300,119800,116300,4303391,508120276437,86559481198500,728002365,STK
3,207940,KR7207940008,삼성바이오로직스,KOSPI,,775000,2,-3000,-0.39,780000,783000,772000,96808,75109548000,55159850000000,71174000,STK
4,051910,KR7051910008,LG화학,KOSPI,,743000,1,21000,2.91,727000,754000,725000,355710,263984930000,52450110849000,70592343,STK
5,005935,KR7005931001,삼성전자우,KOSPI,,61100,1,400,0.66,60700,61100,59800,1999935,120877321100,50278377370000,822886700,STK
6,006400,KR7006400006,삼성SDI,KOSPI,,727000,3,0,0.0,729000,734000,722000,178267,129736993000,49991813310000,68764530,STK
7,005380,KR7005380001,현대차,KOSPI,,199400,2,-300,-0.15,201000,201500,198000,548562,109228636200,42179382296400,211531506,STK
8,005490,KR7005490008,POSCO홀딩스,KOSPI,,393000,1,7000,1.81,388500,395500,383000,640873,250020877500,33236493390000,84571230,STK
9,035420,KR7035420009,NAVER,KOSPI,,202500,1,2000,1.0,202500,204500,202000,751013,152492936250,33219939712500,164049085,STK
10,000270,KR7000270009,기아,KOSPI,,81600,2,-700,-0.85,82900,83300,81400,1396059,114210085400,32806806964800,402044203,STK
11,003670,KR7003670007,포스코퓨처엠,KOSPI,,381500,1,7500,2.01,376500,381500,365500,760876,286503275500,29552218430000,77463220,STK
12,247540,KR7247540008,에코프로비엠,KOSDAQ GLOBAL,우량기업부,266000,1,7500,2.9,259000,266000,253000,1144214,300116441500,26015157504000,97801344,KSQ
13,068270,KR7068270008,셀트리온,KOSPI,,165300,1,1200,0.73,164900,168400,163900,516552,85905500800,24198409488600,146390862,STK
14,035720,KR7035720002,카카오,KOSPI,,53600,2,-300,-0.56,54300,54600,53400,1745708,94023158300,23803985441600,444104206,STK
15,012330,KR7012330007,현대모비스,KOSPI,,221500,2,-1500,-0.67,224000,225000,220500,175890,39014924500,20884148321000,94285094,STK
16,066570,KR7066570003,LG전자,KOSPI,,124500,1,900,0.73,124100,124500,122700,632413,78281648200,20374152843000,163647814,STK
17,028260,KR7028260008,삼성물산,KOSPI,,107600,1,100,0.09,107700,108200,107100,241440,25960829700,19969663692000,185591670,STK
18,086520,KR7086520004,에코프로,KOSDAQ,우량기업부,740000,1,30000,4.23,717000,742000,684000,905447,649491123000,19704474320000,26627668,KSQ
19,105560,KR7105560007,KB금융,KOSPI,,48300,1,100,0.21,48900,49050,48200,1233079,59663049350,19489584777600,403511072,STK
20,055550,KR7055550008,신한지주,KOSPI,,34800,3,0,0.0,35050,35250,34700,1931552,67267302200,18186145885200,522590399,STK
21,096770,KR7096770003,SK이노베이션,KOSPI,,188200,2,-2700,-1.41,191700,192700,188000,652971,123463625000,17402019144800,92465564,STK
22,003550,KR7003550001,LG,KOSPI,,88700,1,600,0.68,89000,89500,88100,301490,26737153800,13952598079100,157300993,STK
23,032830,KR7032830002,삼성생명,KOSPI,,66500,1,200,0.3,66600,66800,65700,253261,16784919900,13300000000000,200000000,STK
24,352820,KR7352820005,하이브,KOSPI,,297500,2,-3000,-1.0,302500,303000,295000,213190,63588510000,12390598920000,41649072,STK
25,034020,KR7034020008,두산에너빌리티,KOSPI,,19270,1,520,2.77,18880,19360,18660,9271007,176774802130,12343613283420,640561146,STK
26,323410,KR7323410001,카카오뱅크,KOSPI,,25850,1,450,1.77,25700,26200,25500,3013691,77926848950,12324430491450,476767137,STK
27,034730,KR7034730002,SK,KOSPI,,166000,2,-1200,-0.72,167300,167900,165400,188293,31289351900,12150922614000,73198329,STK
28,015760,KR7015760002,한국전력,KOSPI,,18830,1,250,1.35,18700,19060,18700,1289113,24355724100,12088183569910,641964077,STK
29,086790,KR7086790003,하나금융지주,KOSPI,,40850,2,-50,-0.12,41150,41450,40850,884490,36257724550,12087656994600,295903476,STK
30,091990,KR7091990002,셀트리온헬스케어,KOSDAQ GLOBAL,우량기업부,72000,1,1600,2.27,70800,73000,70200,1102693,79351859900,11841113520000,164459910,KSQ
31,033780,KR7033780008,KT&G,KOSPI,,82500,1,600,0.73,82400,82700,82000,462569,38104156500,11326631002500,137292497,STK
32,329180,KR7329180004,HD현대중공업,KOSPI,,127400,1,1600,1.27,126700,129000,125800,232759,29705132000,11309694978400,88773116,STK
