Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,½Ã°£,½Ã°¡,°í°¡,Àú°¡,Á¾°¡,ÀüÀÏ´ëºñ,°Å·¡·®,°Å·¡´ë±Ý,´©ÀûÃ¼°á¸Åµµ¼ö·®,´©ÀûÃ¼°á¸Å¼ö¼ö·®,»óÀåÁÖ½Ä¼ö,½Ã°¡ÃÑ¾×,¿Ü±¹ÀÎÁÖ¹®ÇÑµµ¼ö·®,¿Ü±¹ÀÎÁÖ¹®°¡´É¼ö·®,¿Ü±¹ÀÎÇöº¸À¯¼ö·®,¿Ü±¹ÀÎÇöº¸À¯ºñÀ²,¼öÁ¤ÁÖ°¡ÀÏÀÚ,¼öÁ¤ÁÖ°¡ºñÀ²,±â°ü¼ø¸Å¼ö·®,±â°ü´©Àû¼ø¸Å¼ö·®,µî¶ôÁÖ¼±,µî¶ôºñÀ²,¿¹Å¹±Ý,ÁÖ½ÄÈ¸ÀüÀ²
A338220,ºä³ë,20230622,1023,31850,32000,31800,32000,0,1447,46155000,180711,88199,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A338220,ºä³ë,20230622,1022,31850,31850,31750,31750,0,936,29763000,180667,86796,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A338220,ºä³ë,20230622,1021,31850,31850,31800,31800,0,1744,55463000,179743,86784,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A338220,ºä³ë,20230622,1020,31950,31950,31850,31850,0,2719,86632000,178078,86705,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A338220,ºä³ë,20230622,1019,32000,32000,31900,31900,0,1303,41611000,175569,86495,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A338220,ºä³ë,20230622,1018,31950,32000,31950,32000,0,761,24341000,174470,86291,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A338220,ºä³ë,20230622,1017,31950,32000,31950,31950,0,1039,33211000,174255,85745,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A338220,ºä³ë,20230622,1016,31950,32000,31950,32000,0,2182,69816000,173514,85447,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A338220,ºä³ë,20230622,1015,31900,32000,31900,32000,0,3430,109603000,172469,84310,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A338220,ºä³ë,20230622,1014,31850,31900,31850,31850,0,1306,41629000,172425,80924,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A338220,ºä³ë,20230622,1013,31900,31900,31850,31900,0,609,19427000,171786,80257,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A338220,ºä³ë,20230622,1012,31850,31900,31800,31900,0,482,15357000,171784,79650,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A338220,ºä³ë,20230622,1011,31850,31900,31800,31850,0,941,29943000,171783,79169,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A338220,ºä³ë,20230622,1010,31750,31900,31750,31850,0,2247,71521000,171018,78993,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A338220,ºä³ë,20230622,1009,31800,31800,31700,31750,0,1887,59876000,170749,77015,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A338220,ºä³ë,20230622,1008,31700,31800,31700,31800,0,584,18545000,169637,76240,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A338220,ºä³ë,20230622,1007,31650,31800,31600,31700,0,596,18877000,169454,75839,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A338220,ºä³ë,20230622,1006,31700,31700,31650,31650,0,628,19879000,169207,75490,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A338220,ºä³ë,20230622,1005,31700,31700,31700,31700,0,978,31003000,168738,75331,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A338220,ºä³ë,20230622,1004,31650,31700,31650,31700,0,1083,34281000,168738,74353,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A338220,ºä³ë,20230622,1003,31700,31700,31650,31700,0,925,29314000,167883,74125,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A338220,ºä³ë,20230622,1002,31750,31850,31650,31650,0,3205,101712000,167556,73527,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A338220,ºä³ë,20230622,1001,31650,31750,31600,31750,0,4475,141839000,165508,72370,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
