Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,½Ã°£,½Ã°¡,°í°¡,Àú°¡,Á¾°¡,ÀüÀÏ´ëºñ,°Å·¡·®,°Å·¡´ë±Ý,´©ÀûÃ¼°á¸Åµµ¼ö·®,´©ÀûÃ¼°á¸Å¼ö¼ö·®,»óÀåÁÖ½Ä¼ö,½Ã°¡ÃÑ¾×,¿Ü±¹ÀÎÁÖ¹®ÇÑµµ¼ö·®,¿Ü±¹ÀÎÁÖ¹®°¡´É¼ö·®,¿Ü±¹ÀÎÇöº¸À¯¼ö·®,¿Ü±¹ÀÎÇöº¸À¯ºñÀ²,¼öÁ¤ÁÖ°¡ÀÏÀÚ,¼öÁ¤ÁÖ°¡ºñÀ²,±â°ü¼ø¸Å¼ö·®,±â°ü´©Àû¼ø¸Å¼ö·®,µî¶ôÁÖ¼±,µî¶ôºñÀ²,¿¹Å¹±Ý,ÁÖ½ÄÈ¸ÀüÀ²
A108860,¼¿¹Ù½ºAI,20230622,1022,17730,17750,17730,17740,0,310,5499000,80472,60461,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230622,1021,17710,17730,17710,17730,0,468,8289000,80425,60198,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230622,1020,17700,17710,17690,17710,0,1677,29692000,80063,60092,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230622,1019,17710,17740,17700,17700,0,1856,32867000,79075,59403,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230622,1018,17760,17760,17700,17730,0,4681,82912000,77746,58876,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230622,1017,17780,17780,17750,17750,0,1415,25132000,73208,58733,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230622,1016,17790,17790,17770,17770,0,624,11092000,71988,58538,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230622,1015,17780,17790,17780,17790,0,575,10226000,71418,58484,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230622,1014,17800,17800,17770,17770,0,2496,44384000,71044,58283,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230622,1013,17820,17820,17800,17800,0,3059,54463000,68682,58149,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230622,1012,17820,17820,17810,17810,0,467,8318000,65937,57835,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230622,1011,17810,17820,17810,17810,0,1771,31542000,65528,57777,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230622,1010,17820,17820,17810,17820,0,1615,28778000,63969,57565,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230622,1009,17830,17830,17820,17830,0,555,9893000,62665,57254,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230622,1008,17830,17840,17830,17840,0,109,1944000,62386,56978,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230622,1007,17830,17840,17830,17830,0,593,10573000,62307,56948,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230622,1006,17830,17830,17820,17830,0,370,6597000,61793,56869,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230622,1005,17840,17840,17830,17830,0,303,5403000,61728,56564,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230622,1004,17840,17850,17840,17840,0,526,9383000,61428,56561,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230622,1003,17830,17840,17830,17840,0,796,14194000,61043,56420,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230622,1002,17850,17850,17830,17830,0,2141,38179000,60418,56249,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230622,1001,17880,17880,17850,17850,0,1406,25099000,58480,56046,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230622,1000,17850,17880,17840,17880,0,517,9236000,57238,55882,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230622,959,17850,17850,17840,17840,0,382,6819000,57198,55405,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230622,958,17850,17850,17840,17850,0,1384,24702000,56891,55330,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230622,957,17850,17850,17820,17850,0,2743,48924000,55786,55051,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230622,956,17890,17890,17840,17840,0,319,5693000,54054,54040,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
A108860,¼¿¹Ù½ºAI,20230622,955,17880,17890,17850,17890,0,1207,21582000,53773,54002,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0
