¡æ∏Òƒ⁄µÂ,¡æ∏Ò∏Ì,≥Ø¬•,∞≥¿Œ,ø‹±π¿Œ,±‚∞¸∞Ë,±›¿∂≈ı¿⁄,∫∏«Ë,≈ıΩ≈,¿∫«‡,±‚≈∏±›¿∂,ø¨±‚±›,±‚≈∏π˝¿Œ,±‚≈∏ø‹¿Œ,ªÁ∏∆›µÂ
A338220,∫‰≥Î,20220714,4735,-4393,0,0,0,0,0,0,0,-82,-260,0
A338220,∫‰≥Î,20220713,3572,-3491,0,0,0,0,0,0,0,-82,1,0
A338220,∫‰≥Î,20220715,3522,-3620,0,0,0,0,0,0,0,0,98,0
A338220,∫‰≥Î,20220718,-14001,9489,4580,4580,0,0,0,0,0,0,-68,0
A338220,∫‰≥Î,20220720,-232117,224856,-551,0,0,0,0,0,0,0,7812,-551
A338220,∫‰≥Î,20220719,5123,-4652,-551,0,0,0,0,0,0,0,80,-551
A338220,∫‰≥Î,20220722,126645,-122506,-4159,0,0,-4198,0,0,0,-1000,1020,39
A338220,∫‰≥Î,20220721,106133,-100187,-5966,0,0,-5993,0,0,0,-1000,1020,27
A338220,∫‰≥Î,20220726,41968,-39065,-4254,2000,0,-6018,0,0,0,0,1351,-236
A338220,∫‰≥Î,20220725,29033,-23178,-7254,0,0,-7018,0,0,0,0,1399,-236
A338220,∫‰≥Î,20220728,35251,-44304,9000,1000,0,8000,0,0,0,0,53,0
A338220,∫‰≥Î,20220727,15305,-21557,6252,0,0,6252,0,0,0,0,0,0
A338220,∫‰≥Î,20220729,9139,-11186,2000,0,0,2000,0,0,0,0,47,0
A338220,∫‰≥Î,20220801,8980,-11386,2500,0,0,2500,0,0,0,0,-94,0
A338220,∫‰≥Î,20220803,-455,-10668,15864,4000,0,5724,0,0,0,-5187,446,6140
A338220,∫‰≥Î,20220802,16300,-13141,4578,4000,0,578,0,0,0,-7837,100,0
A338220,∫‰≥Î,20220805,-5281,18595,-3207,0,0,-822,0,0,0,0,-10107,-2385
A338220,∫‰≥Î,20220804,-2822,14869,-1840,0,0,545,0,0,0,0,-10207,-2385
A338220,∫‰≥Î,20220809,20216,-18493,-1816,0,0,-1816,0,0,0,0,93,0
A338220,∫‰≥Î,20220808,19276,-18119,-1157,0,0,-1157,0,0,0,0,0,0
A338220,∫‰≥Î,20220811,25633,-25910,-43,0,0,0,0,0,0,320,0,-43
A338220,∫‰≥Î,20220810,22993,-22950,-43,0,0,0,0,0,0,0,0,-43
A338220,∫‰≥Î,20220812,5555,-5555,0,0,0,0,0,0,0,0,0,0
A338220,∫‰≥Î,20220817,44617,-30351,-12063,0,0,-3732,0,0,0,-2450,247,-8331
A338220,∫‰≥Î,20220816,10410,-3900,-4191,0,0,-1064,0,0,0,-2450,131,-3127
A338220,∫‰≥Î,20220819,10487,-12620,2002,2,0,2000,0,0,0,100,31,0
A338220,∫‰≥Î,20220818,7087,-8118,1000,0,0,1000,0,0,0,0,31,0
A338220,∫‰≥Î,20220823,52638,-7743,2002,1002,0,1000,0,0,0,-48600,1703,0
A338220,∫‰≥Î,20220822,6780,-8184,1,1,0,0,0,0,0,0,1403,0
A338220,∫‰≥Î,20220825,41248,41980,-3,-3,0,0,0,0,0,-83230,5,0
A338220,∫‰≥Î,20220824,11695,-1268,-2,-2,0,0,0,0,0,-10430,5,0
A338220,∫‰≥Î,20220826,6382,-14365,1,1,0,0,0,0,0,7978,4,0
A338220,∫‰≥Î,20220829,28826,-8326,1000,1000,0,0,0,0,0,-21500,0,0
A338220,∫‰≥Î,20220831,-1438,631,1000,0,0,1000,0,0,0,0,-193,0
A338220,∫‰≥Î,20220830,1998,-1808,0,0,0,0,0,0,0,0,-190,0
A338220,∫‰≥Î,20220902,18150,-11394,-8000,0,0,0,0,0,0,750,494,-8000
A338220,∫‰≥Î,20220901,11988,-7938,-5000,0,0,0,0,0,0,750,200,-5000
A338220,∫‰≥Î,20220906,6115,-2440,-6000,0,0,0,0,0,0,2345,-20,-6000
A338220,∫‰≥Î,20220905,6957,-3957,-3000,0,0,0,0,0,0,0,0,-3000
A338220,∫‰≥Î,20220908,5547,-6645,1000,0,0,4000,0,0,0,1,97,-3000
A338220,∫‰≥Î,20220907,7704,-6805,-1000,0,0,2000,0,0,0,1,100,-3000
A338220,∫‰≥Î,20220914,-4148,3301,849,-151,0,1000,0,0,0,0,-2,0
A338220,∫‰≥Î,20220913,-4570,4570,0,0,0,0,0,0,0,0,0,0
A338220,∫‰≥Î,20220916,6015,-6003,0,0,0,0,0,0,0,0,-12,0
A338220,∫‰≥Î,20220915,2326,-2314,0,0,0,0,0,0,0,0,-12,0
A338220,∫‰≥Î,20220920,5153,-5353,0,0,0,0,0,0,0,200,0,0
A338220,∫‰≥Î,20220919,3606,-3806,0,0,0,0,0,0,0,200,0,0
A338220,∫‰≥Î,20220922,1722,-1723,0,0,0,0,0,0,0,0,1,0
A338220,∫‰≥Î,20220921,1088,-1088,0,0,0,0,0,0,0,0,0,0
A338220,∫‰≥Î,20220923,-634,1286,-652,0,0,0,0,0,0,0,0,-652
A338220,∫‰≥Î,20220926,-1737,1737,0,0,0,0,0,0,0,0,0,0
A338220,∫‰≥Î,20220928,-7848,6848,0,0,0,0,0,0,0,1000,0,0
A338220,∫‰≥Î,20220927,36,-536,0,0,0,0,0,0,0,500,0,0
A338220,∫‰≥Î,20220930,-18315,17515,0,0,0,0,0,0,0,800,0,0
A338220,∫‰≥Î,20220929,-18953,17738,415,0,0,415,0,0,0,800,0,0
A338220,∫‰≥Î,20221004,-7110,6960,0,0,0,0,0,0,0,0,150,0
A338220,∫‰≥Î,20221006,-3727,3306,-90,-90,0,0,0,0,0,176,335,0
A338220,∫‰≥Î,20221005,8497,-8623,-50,-50,0,0,0,0,0,176,0,0
A338220,∫‰≥Î,20221007,2286,-1951,0,0,0,0,0,0,0,0,-335,0
A338220,∫‰≥Î,20221012,19122,-8722,-8980,-9457,0,1000,0,0,0,-1800,380,-523
A338220,∫‰≥Î,20221011,17437,-6037,-9980,-9457,0,0,0,0,0,-1800,380,-523
A338220,∫‰≥Î,20221014,-4378,5699,-1000,-200,0,-800,0,0,0,0,-321,0
A338220,∫‰≥Î,20221013,5990,-5669,0,0,0,0,0,0,0,0,-321,0
A338220,∫‰≥Î,20221018,-11838,12363,-526,-160,0,-366,0,0,0,1,0,0
A338220,∫‰≥Î,20221017,-3047,3047,0,0,0,0,0,0,0,0,0,0
A338220,∫‰≥Î,20221020,8143,-7529,-634,0,0,-634,0,0,0,0,20,0
A338220,∫‰≥Î,20221019,6516,-6009,-527,0,0,-527,0,0,0,0,20,0
A338220,∫‰≥Î,20221021,2073,-2271,0,0,0,0,0,0,0,-2,200,0
A338220,∫‰≥Î,20221024,778,-779,0,0,0,0,0,0,0,0,1,0
A338220,∫‰≥Î,20221026,266,-266,0,0,0,0,0,0,0,0,0,0
A338220,∫‰≥Î,20221025,355,-355,0,0,0,0,0,0,0,0,0,0
A338220,∫‰≥Î,20221028,-5048,3511,0,0,0,0,0,0,0,0,1537,0
A338220,∫‰≥Î,20221027,-5999,5799,0,0,0,0,0,0,0,0,200,0
A338220,∫‰≥Î,20221101,3504,-3072,0,0,0,0,0,0,0,0,-432,0
A338220,∫‰≥Î,20221031,3076,-2876,0,0,0,0,0,0,0,0,-200,0
A338220,∫‰≥Î,20221103,6591,-4214,-2000,0,0,-2000,0,0,0,-176,-201,0
A338220,∫‰≥Î,20221102,1042,1134,-2000,0,0,-2000,0,0,0,-176,0,0
A338220,∫‰≥Î,20221104,2681,-1781,0,0,0,0,0,0,0,0,-900,0
A338220,∫‰≥Î,20221107,4683,-4760,0,0,0,0,0,0,0,0,77,0
A338220,∫‰≥Î,20221109,-7934,9511,-2000,0,0,-2000,0,0,0,0,423,0
A338220,∫‰≥Î,20221108,-8208,8208,0,0,0,0,0,0,0,0,0,0
A338220,∫‰≥Î,20221111,4343,-3343,0,0,0,0,0,0,0,0,-1000,0
A338220,∫‰≥Î,20221110,2639,-2639,0,0,0,0,0,0,0,0,0,0
A338220,∫‰≥Î,20221115,753,480,0,0,0,0,0,0,0,-700,-533,0
A338220,∫‰≥Î,20221114,279,154,0,0,0,0,0,0,0,0,-433,0
A338220,∫‰≥Î,20221117,5219,-2889,-2000,0,0,-2000,0,0,0,-350,20,0
A338220,∫‰≥Î,20221116,7657,-6317,-1000,0,0,-1000,0,0,0,-350,10,0
A338220,∫‰≥Î,20221118,1121,-1021,0,0,0,0,0,0,0,0,-100,0
A338220,∫‰≥Î,20221121,-77,-1639,0,0,0,0,0,0,0,1707,9,0
A338220,∫‰≥Î,20221123,418,-240,-168,0,0,-168,0,0,0,0,-10,0
A338220,∫‰≥Î,20221122,-783,783,0,0,0,0,0,0,0,0,0,0
A338220,∫‰≥Î,20221125,-1705,2705,-1000,0,0,-1000,0,0,0,0,0,0
A338220,∫‰≥Î,20221124,-7132,7132,0,0,0,0,0,0,0,0,0,0
A338220,∫‰≥Î,20221129,2415,1558,-5000,-925,0,-4075,0,0,0,827,200,0
A338220,∫‰≥Î,20221128,3844,-3285,-1000,-925,0,-75,0,0,0,441,0,0
A338220,∫‰≥Î,20221201,14555,-13855,-3000,-385,0,-2615,0,0,0,2272,28,0
A338220,∫‰≥Î,20221130,9041,-5977,-3000,-385,0,-2615,0,0,0,88,-152,0
A338220,∫‰≥Î,20221202,345,-933,0,0,0,0,0,0,0,88,500,0
A338220,∫‰≥Î,20221205,-4553,1732,0,0,0,0,0,0,0,2821,0,0
A338220,∫‰≥Î,20221207,-6611,5691,-782,0,0,-782,0,0,0,2669,-967,0
A338220,∫‰≥Î,20221206,-8468,7491,-350,0,0,-350,0,0,0,2069,-742,0
A338220,∫‰≥Î,20221209,1414,-1495,-218,0,0,-218,0,0,0,0,299,0
A338220,∫‰≥Î,20221208,2854,-2935,-218,0,0,-218,0,0,0,0,299,0
A338220,∫‰≥Î,20221213,781,-114,0,0,0,0,0,0,0,-466,-201,0
A338220,∫‰≥Î,20221212,1341,-1341,0,0,0,0,0,0,0,0,0,0
A338220,∫‰≥Î,20221215,-3428,4813,0,0,0,0,0,0,0,-1385,0,0
A338220,∫‰≥Î,20221214,-1444,1578,0,0,0,0,0,0,0,-134,0,0
A338220,∫‰≥Î,20221216,1094,-185,0,0,0,0,0,0,0,-909,0,0
A338220,∫‰≥Î,20221219,1738,-1738,0,0,0,0,0,0,0,0,0,0
A338220,∫‰≥Î,20221221,4605,-2395,0,0,0,0,0,0,0,-2310,100,0
A338220,∫‰≥Î,20221220,2343,-2431,0,0,0,0,0,0,0,-12,100,0
A338220,∫‰≥Î,20221223,3847,-3456,-391,1,0,0,0,0,0,0,0,-392
A338220,∫‰≥Î,20221222,1547,-1155,-392,0,0,0,0,0,0,0,0,-392
A338220,∫‰≥Î,20221227,-627,635,-1,-1,0,0,0,0,0,0,-7,0
A338220,∫‰≥Î,20221226,-1295,1296,-1,-1,0,0,0,0,0,0,0,0
A338220,∫‰≥Î,20221229,1976,-1777,0,0,0,0,0,0,0,-200,1,0
A338220,∫‰≥Î,20221228,-1559,1758,0,0,0,0,0,0,0,-200,1,0
A338220,∫‰≥Î,20230102,592,-202,0,0,0,0,0,0,0,-390,0,0
A338220,∫‰≥Î,20230104,-1233,1558,0,0,0,0,0,0,0,0,-325,0
