¡æ∏Òƒ⁄µÂ,¡æ∏Ò∏Ì,≥Ø¬•,∞≥¿Œ,ø‹±π¿Œ,±‚∞¸∞Ë,±›¿∂≈ı¿⁄,∫∏«Ë,≈ıΩ≈,¿∫«‡,±‚≈∏±›¿∂,ø¨±‚±›,±‚≈∏π˝¿Œ,±‚≈∏ø‹¿Œ,ªÁ∏∆›µÂ
A108860,ºøπŸΩ∫AI,20220714,-10541,15918,-16,-16,0,0,0,0,0,-100,-5261,0
A108860,ºøπŸΩ∫AI,20220713,-26309,29429,-15,-15,0,0,0,0,0,103,-3208,0
A108860,ºøπŸΩ∫AI,20220715,40067,-44034,-10,-10,0,0,0,0,0,1396,2581,0
A108860,ºøπŸΩ∫AI,20220718,-29682,33831,0,0,0,0,0,0,0,-1241,-2907,0
A108860,ºøπŸΩ∫AI,20220720,-15748,16341,27,27,0,0,0,0,0,-517,-103,0
A108860,ºøπŸΩ∫AI,20220719,-5538,5183,0,0,0,0,0,0,0,-517,872,0
A108860,ºøπŸΩ∫AI,20220722,84490,-82237,-45,-45,0,0,0,0,0,-1824,-383,0
A108860,ºøπŸΩ∫AI,20220721,58440,-55988,-51,-51,0,0,0,0,0,-1823,-576,0
A108860,ºøπŸΩ∫AI,20220726,-18570,9159,-9,-9,0,0,0,0,0,6209,3212,0
A108860,ºøπŸΩ∫AI,20220725,-15245,6030,0,0,0,0,0,0,0,6209,3006,0
A108860,ºøπŸΩ∫AI,20220728,36857,-38866,-1,-1,0,0,0,0,0,602,1410,0
A108860,ºøπŸΩ∫AI,20220727,-284,317,-1,-1,0,0,0,0,0,10,-41,0
A108860,ºøπŸΩ∫AI,20220729,-51568,50575,-8,-8,0,0,0,0,0,5867,-4866,0
A108860,ºøπŸΩ∫AI,20220801,-1912,-248,29,29,0,0,0,0,0,2069,62,0
A108860,ºøπŸΩ∫AI,20220803,38406,-52208,46,46,0,0,0,0,0,12844,912,0
A108860,ºøπŸΩ∫AI,20220802,40538,-47281,51,51,0,0,0,0,0,5987,705,0
A108860,ºøπŸΩ∫AI,20220805,12461,812,-99,-99,0,0,0,0,0,-10734,-2437,0
A108860,ºøπŸΩ∫AI,20220804,-13359,25430,-98,-98,0,0,0,0,0,-9582,-2390,0
A108860,ºøπŸΩ∫AI,20220809,-3689,5737,-16,-16,0,0,0,0,0,-2557,524,0
A108860,ºøπŸΩ∫AI,20220808,-24952,21751,6,6,0,0,0,0,0,2080,1114,0
A108860,ºøπŸΩ∫AI,20220811,-3649,36868,-34951,2,0,-34953,0,0,0,946,785,0
