종목코드,종목명,날짜,개인,외국인,기관계,금융투자,보험,투신,은행,기타금융,연기금,기타법인,기타외인,사모펀드
A347860,알체라,20220714,28617,-25518,-9,-9,0,0,0,0,0,-23,-3069,0
A347860,알체라,20220713,-1218,1216,-10,-10,0,0,0,0,0,0,11,0
A347860,알체라,20220715,3384,-2722,0,0,0,0,0,0,0,3,-666,0
A347860,알체라,20220718,362,324,0,0,0,0,0,0,0,6,-693,0
A347860,알체라,20220720,16616,-19507,-1,-1,0,0,0,0,0,3556,-664,0
A347860,알체라,20220719,1598,-2597,-1,-1,0,0,0,0,0,1651,-652,0
A347860,알체라,20220722,33298,-28860,847,0,0,1,0,0,0,-2702,-2583,846
A347860,알체라,20220721,-1082,3651,1464,0,0,1464,0,0,0,-1664,-2368,0
A347860,알체라,20220726,13624,-14432,-1,-1,0,0,0,0,0,800,8,0
A347860,알체라,20220725,15691,-15533,-1,-1,0,0,0,0,0,-152,-4,0
A347860,알체라,20220728,10182,-12063,-53,-53,0,0,0,0,0,1843,94,0
A347860,알체라,20220727,-596,-1215,0,0,0,0,0,0,0,1843,-31,0
A347860,알체라,20220729,3298,-777,0,0,0,0,0,0,0,-2541,19,0
A347860,알체라,20220801,9452,-9455,1,1,0,0,0,0,0,0,2,0
A347860,알체라,20220803,2966,-1215,0,0,0,0,0,0,0,-1908,158,0
A347860,알체라,20220802,11841,-12192,0,0,0,0,0,0,0,251,101,0
A347860,알체라,20220805,-10962,12269,0,0,0,0,0,0,0,-1562,255,0
A347860,알체라,20220804,-19727,21051,0,0,0,0,0,0,0,-1562,239,0
A347860,알체라,20220809,13020,-14026,0,0,0,0,0,0,0,631,376,0
A347860,알체라,20220808,-7631,7112,1301,0,0,1301,0,0,0,-639,-142,0
A347860,알체라,20220811,33431,-26912,-7793,-7793,0,0,0,0,0,272,1004,0
A347860,알체라,20220810,18503,-19381,0,0,0,0,0,0,0,382,497,0
A347860,알체라,20220812,7894,-7341,0,0,0,0,0,0,0,-1400,847,0
