종목코드,종목명,날짜,개인,외국인,기관계,금융투자,보험,투신,은행,기타금융,연기금,기타법인,기타외인,사모펀드
A079970,투비소프트,20220714,47808,-50081,0,0,0,0,0,0,0,262,2011,0
A079970,투비소프트,20220713,30998,-31265,0,0,0,0,0,0,0,262,5,0
A079970,투비소프트,20220715,3695,-2691,0,0,0,0,0,0,0,0,-1004,0
A079970,투비소프트,20220718,8998,6009,0,0,0,0,0,0,0,-15000,-7,0
A079970,투비소프트,20220720,31098,-31924,0,0,0,0,0,0,0,790,36,0
A079970,투비소프트,20220719,2229,-2529,0,0,0,0,0,0,0,300,0,0
A079970,투비소프트,20220722,-29718,69583,1,1,0,0,0,0,0,-39991,125,0
A079970,투비소프트,20220721,-66146,106021,0,0,0,0,0,0,0,-40000,125,0
A079970,투비소프트,20220726,11350,-12342,0,0,0,0,0,0,0,991,1,0
A079970,투비소프트,20220725,6693,-7194,0,0,0,0,0,0,0,500,1,0
A079970,투비소프트,20220728,89717,-40899,0,0,0,0,0,0,0,-49318,500,0
A079970,투비소프트,20220727,20831,3669,0,0,0,0,0,0,0,-25000,500,0
A079970,투비소프트,20220729,57941,-10159,0,0,0,0,0,0,0,-47786,4,0
A079970,투비소프트,20220801,18841,-33919,0,0,0,0,0,0,0,14314,764,0
A079970,투비소프트,20220803,44682,-20189,0,0,0,0,0,0,0,-24582,89,0
A079970,투비소프트,20220802,38065,-11325,0,0,0,0,0,0,0,-26988,248,0
A079970,투비소프트,20220805,29358,15311,0,0,0,0,0,0,0,-44681,12,0
A079970,투비소프트,20220804,-792,3621,0,0,0,0,0,0,0,-2829,0,0
A079970,투비소프트,20220809,39184,84813,0,0,0,0,0,0,0,-124295,298,0
A079970,투비소프트,20220808,20727,25544,0,0,0,0,0,0,0,-46898,627,0
A079970,투비소프트,20220811,-5490,43113,0,0,0,0,0,0,0,-39512,1889,0
A079970,투비소프트,20220810,-44067,67685,0,0,0,0,0,0,0,-25507,1889,0
A079970,투비소프트,20220812,72395,-60695,0,0,0,0,0,0,0,-11715,15,0
A079970,투비소프트,20220817,35491,-20883,0,0,0,0,0,0,0,-9888,-4720,0
A079970,투비소프트,20220816,-832,9098,0,0,0,0,0,0,0,-8265,-1,0
A079970,투비소프트,20220819,-68892,93428,6,6,0,0,0,0,0,-22456,-2086,0
A079970,투비소프트,20220818,-10079,9931,0,0,0,0,0,0,0,-2,150,0
A079970,투비소프트,20220823,-16461,16891,7,7,0,0,0,0,0,-1013,576,0
A079970,투비소프트,20220822,-25576,26585,4,4,0,0,0,0,0,-1013,0,0
A079970,투비소프트,20220825,-52103,191502,4076,-8,0,4084,0,0,0,-143170,-305,0
A079970,투비소프트,20220824,-3159,3164,-5,-5,0,0,0,0,0,0,0,0
A079970,투비소프트,20220826,51555,14409,-2924,0,0,-2924,0,0,0,-62997,-43,0
A079970,투비소프트,20220829,-14533,35807,-1162,-2,0,-1160,0,0,0,-20112,0,0
A079970,투비소프트,20220831,76921,53451,-2,-2,0,0,0,0,0,-108201,-22169,0
A079970,투비소프트,20220830,54097,61427,-1,-1,0,0,0,0,0,-92265,-23258,0
A079970,투비소프트,20220902,68294,-75031,0,0,0,0,0,0,0,4707,2030,0
A079970,투비소프트,20220901,54984,-61721,0,0,0,0,0,0,0,4707,2030,0
A079970,투비소프트,20220906,198926,-114464,0,0,0,0,0,0,0,-84472,10,0
A079970,투비소프트,20220905,65579,-30128,0,0,0,0,0,0,0,-35461,10,0
A079970,투비소프트,20220908,53407,-31469,0,0,0,0,0,0,0,-21948,10,0
A079970,투비소프트,20220907,29786,-28417,0,0,0,0,0,0,0,-1370,1,0
