종목코드,종목명,날짜,개인,외국인,기관계,금융투자,보험,투신,은행,기타금융,연기금,기타법인,기타외인,사모펀드
A300080,플리토,20220714,-2947,-5486,8074,6074,0,0,0,0,0,354,5,2000
A300080,플리토,20220713,-6002,-565,6067,4067,0,0,0,0,0,520,-20,2000
A300080,플리토,20220715,2063,-3763,1000,0,0,0,0,0,0,700,0,1000
A300080,플리토,20220718,1114,-518,815,815,0,0,0,0,0,-1411,0,0
A300080,플리토,20220720,-3370,2358,40,40,0,0,0,0,0,972,0,0
A300080,플리토,20220719,-1219,173,-380,-380,0,0,0,0,0,1426,0,0
A300080,플리토,20220722,3281,-3915,-1000,-1000,0,0,0,0,0,1634,0,0
A300080,플리토,20220721,1858,-2140,-452,-452,0,0,0,0,0,734,0,0
A300080,플리토,20220726,-14114,8738,2400,2000,0,0,0,0,0,3205,-229,400
A300080,플리토,20220725,-3041,1736,400,1000,0,0,0,0,0,905,0,-600
A300080,플리토,20220728,-4766,-3078,4941,1200,0,718,0,0,0,3100,-197,3023
A300080,플리토,20220727,-3390,-1159,4241,500,0,718,0,0,0,500,-192,3023
A300080,플리토,20220729,-599,-592,100,100,0,0,0,0,0,1054,37,0
A300080,플리토,20220801,-1613,-764,2000,2000,0,0,0,0,0,400,-23,0
A300080,플리토,20220803,-11495,6991,2901,2900,0,1,0,0,0,1628,-25,0
A300080,플리토,20220802,-3221,1437,400,400,0,0,0,0,0,1400,-16,0
A300080,플리토,20220805,4667,-5223,499,500,0,-1,0,0,0,44,13,0
A300080,플리토,20220804,2126,-2180,-1,0,0,-1,0,0,0,34,21,0
A300080,플리토,20220809,-1445,227,800,800,0,0,0,0,0,526,-108,0
A300080,플리토,20220808,-2549,1631,500,500,0,0,0,0,0,526,-108,0
A300080,플리토,20220811,-590,-2230,700,700,0,0,0,0,0,2101,19,0
A300080,플리토,20220810,1204,-1899,200,200,0,0,0,0,0,500,-5,0
A300080,플리토,20220812,-1741,1668,100,100,0,0,0,0,0,8,-35,0
A300080,플리토,20220817,8556,-1028,0,0,0,0,0,0,0,-3508,-4020,0
A300080,플리토,20220816,-5929,9730,0,0,0,0,0,0,0,235,-4036,0
A300080,플리토,20220819,874,-886,1,1,0,0,0,0,0,9,2,0
A300080,플리토,20220818,-1604,1594,0,0,0,0,0,0,0,8,2,0
A300080,플리토,20220823,1623,-1635,0,0,0,0,0,0,0,12,0,0
A300080,플리토,20220822,614,-626,0,0,0,0,0,0,0,12,0,0
A300080,플리토,20220825,1184,-1291,-1,-1,0,0,0,0,0,9,99,0
